time,sea_water_practical_salinity,sea_water_practical_salinity_qc_agg,z
UTC,1e-3,,m
2008-11-28T21:17:00Z,35.957,2,0.0
2008-11-29T00:17:00Z,35.983,2,0.0
2008-11-29T03:17:00Z,35.961,2,0.0
2008-11-29T06:17:00Z,35.583,2,0.0
2008-11-29T09:17:00Z,35.535,2,0.0
2008-11-29T12:17:00Z,35.67,2,0.0
2008-11-29T15:17:00Z,35.336,2,0.0
2008-11-29T18:17:00Z,34.515,2,0.0
2008-11-29T21:17:00Z,34.387,2,0.0
2008-11-30T00:17:00Z,34.474,2,0.0
2008-11-30T03:17:00Z,34.388,2,0.0
2008-11-30T06:17:00Z,34.377,2,0.0
2008-11-30T09:17:00Z,34.62,2,0.0
2008-11-30T12:17:00Z,35.157,2,0.0
2008-11-30T15:17:00Z,35.579,2,0.0
2008-11-30T18:17:00Z,35.567,2,0.0
2008-11-30T21:17:00Z,35.563,2,0.0
2008-12-01T00:17:00Z,35.675,2,0.0
2008-12-01T03:17:00Z,35.722,2,0.0
2008-12-01T06:17:00Z,35.66,2,0.0
2008-12-01T09:17:00Z,35.642,2,0.0
2008-12-01T12:17:00Z,35.675,2,0.0
2008-12-01T15:17:00Z,35.756,2,0.0
2008-12-01T18:17:00Z,35.728,2,0.0
2008-12-01T21:17:00Z,35.607,2,0.0
2008-12-02T00:17:00Z,35.657,2,0.0
2008-12-02T03:17:00Z,35.729,2,0.0
2008-12-02T06:17:00Z,35.701,2,0.0
2008-12-02T09:17:00Z,35.579,2,0.0
2008-12-02T12:17:00Z,35.686,2,0.0
2008-12-02T15:17:00Z,35.783,2,0.0
2008-12-02T18:17:00Z,35.738,2,0.0
2008-12-02T21:17:00Z,35.659,2,0.0
2008-12-03T00:17:00Z,35.693,2,0.0
2008-12-03T03:17:00Z,35.75,2,0.0
2008-12-03T06:17:00Z,35.73,2,0.0
2008-12-03T09:17:00Z,35.676,2,0.0
2008-12-03T12:17:00Z,35.705,2,0.0
2008-12-03T15:17:00Z,35.763,2,0.0
2008-12-03T18:17:00Z,35.77,2,0.0
2008-12-03T21:17:00Z,35.714,2,0.0
2008-12-04T00:17:00Z,35.74,2,0.0
2008-12-04T03:17:00Z,35.776,2,0.0
2008-12-04T06:17:00Z,35.767,2,0.0
2008-12-04T09:17:00Z,35.777,2,0.0
2008-12-04T12:17:00Z,35.78,2,0.0
2008-12-04T15:17:00Z,35.84,2,0.0
2008-12-04T18:17:00Z,35.831,2,0.0
2008-12-04T21:17:00Z,35.766,2,0.0
2008-12-05T00:17:00Z,35.738,2,0.0
2008-12-05T03:17:00Z,35.831,2,0.0
2008-12-05T06:17:00Z,35.828,2,0.0
2008-12-05T09:17:00Z,35.776,2,0.0
2008-12-05T12:17:00Z,35.736,2,0.0
2008-12-05T15:17:00Z,35.81,2,0.0
2008-12-05T18:17:00Z,35.818,2,0.0
2008-12-05T21:17:00Z,35.759,2,0.0
2008-12-06T00:17:00Z,35.717,2,0.0
2008-12-06T03:17:00Z,35.801,2,0.0
2008-12-06T06:17:00Z,35.822,2,0.0
2008-12-06T09:17:00Z,35.783,2,0.0
2008-12-06T12:17:00Z,35.766,2,0.0
2008-12-06T15:17:00Z,35.822,2,0.0
2008-12-06T18:17:00Z,35.849,2,0.0
2008-12-06T21:17:00Z,35.82,2,0.0
2008-12-07T00:17:00Z,35.729,2,0.0
2008-12-07T03:17:00Z,35.728,2,0.0
2008-12-07T06:17:00Z,35.886,2,0.0
2008-12-07T09:17:00Z,35.846,2,0.0
2008-12-07T12:17:00Z,35.824,2,0.0
2008-12-07T15:17:00Z,35.813,2,0.0
2008-12-07T18:17:00Z,35.827,2,0.0
2008-12-07T21:17:00Z,35.85,2,0.0
2008-12-08T00:17:00Z,35.834,2,0.0
2008-12-08T03:17:00Z,35.8,2,0.0
2008-12-08T06:17:00Z,35.839,2,0.0
2008-12-08T09:17:00Z,35.868,2,0.0
2008-12-08T12:17:00Z,35.868,2,0.0
2008-12-08T15:17:00Z,35.798,2,0.0
2008-12-08T18:17:00Z,35.854,2,0.0
2008-12-08T21:17:00Z,35.877,2,0.0
2008-12-09T00:17:00Z,35.77,2,0.0
2008-12-09T03:17:00Z,35.631,2,0.0
2008-12-09T06:17:00Z,35.754,2,0.0
2008-12-09T09:17:00Z,35.839,2,0.0
